,STEP,ID,x,y,Kind
0,0,0,22,5,normal
1,0,1,16,2,normal
2,0,2,6,24,normal
3,0,3,19,22,normal
4,0,4,25,21,normal
5,0,5,8,19,normal
6,0,6,19,24,normal
7,0,7,9,5,normal
8,0,8,11,15,normal
9,0,9,13,21,normal
10,0,10,22,9,normal
11,0,11,16,24,normal
12,0,12,1,25,normal
13,0,13,12,10,normal
14,0,14,5,18,normal
15,0,15,9,10,normal
16,0,16,6,12,normal
17,0,17,8,17,normal
18,0,18,16,12,normal
19,0,19,17,22,normal
20,0,20,12,3,normal
21,0,21,21,7,normal
22,0,22,2,24,normal
23,0,23,16,1,normal
24,0,24,18,4,normal
25,0,25,12,20,normal
26,0,26,7,24,normal
27,0,27,15,3,normal
28,0,28,22,15,normal
29,0,29,12,7,normal
30,0,30,19,18,normal
31,0,31,4,19,normal
32,0,32,14,5,normal
33,0,33,2,11,normal
34,0,34,12,4,normal
35,0,35,18,9,normal
36,0,36,7,11,normal
37,0,37,24,10,normal
38,0,38,5,8,normal
39,0,39,11,22,normal
40,0,40,18,10,normal
41,0,41,1,16,normal
42,0,42,9,2,normal
43,0,43,9,3,normal
44,0,44,14,8,normal
45,0,45,15,17,normal
46,0,46,11,2,normal
47,0,47,18,1,normal
48,0,48,8,24,normal
49,0,49,10,21,normal
50,0,50,7,23,normal
51,0,51,11,12,normal
52,0,52,25,24,normal
53,0,53,20,17,normal
54,0,54,24,6,normal
55,0,55,8,12,normal
56,0,56,9,1,normal
57,0,57,7,5,normal
58,0,58,3,7,normal
59,0,59,19,20,normal
60,0,60,23,13,normal
61,0,61,14,20,normal
62,0,62,12,8,normal
63,0,63,6,17,normal
64,0,64,9,24,normal
65,0,65,17,3,normal
66,0,66,1,18,normal
67,0,67,18,5,normal
68,0,68,6,4,normal
69,0,69,8,18,normal
70,0,70,3,5,normal
71,0,71,11,17,normal
72,0,72,14,22,normal
73,0,73,6,3,normal
74,0,74,11,16,normal
75,0,75,15,6,normal
76,0,76,19,15,normal
77,0,77,15,2,normal
78,0,78,17,7,normal
79,0,79,19,10,normal
80,0,80,15,21,normal
81,0,81,20,21,normal
82,0,82,23,6,normal
83,0,83,4,8,normal
84,0,84,4,24,normal
85,0,85,22,19,normal
86,0,86,10,19,normal
87,0,87,6,21,normal
88,0,88,16,20,normal
89,0,89,15,14,normal
90,0,90,14,2,normal
91,0,91,2,3,normal
92,0,92,5,10,normal
93,0,93,3,17,normal
94,0,94,10,11,normal
95,0,95,6,13,normal
96,0,96,4,17,normal
97,0,97,3,3,normal
98,0,98,9,4,normal
99,0,99,2,19,normal
100,1,0,22,6,normal
101,1,1,16,2,normal
102,1,2,6,24,normal
103,1,3,19,21,normal
104,1,4,25,20,normal
105,1,5,8,19,normal
106,1,6,19,23,normal
107,1,7,9,5,normal
108,1,8,11,15,normal
109,1,9,13,21,normal
110,1,10,22,10,normal
111,1,11,16,23,normal
112,1,12,2,25,normal
113,1,13,13,10,normal
114,1,14,6,18,normal
115,1,15,9,9,normal
116,1,16,7,12,normal
117,1,17,9,17,normal
118,1,18,17,12,normal
119,1,19,17,21,normal
120,1,20,12,3,normal
121,1,21,21,8,normal
122,1,22,3,24,normal
123,1,23,16,1,normal
124,1,24,19,4,normal
125,1,25,12,19,normal
126,1,26,7,24,normal
127,1,27,15,3,normal
128,1,28,23,15,normal
129,1,29,13,7,normal
130,1,30,20,18,normal
131,1,31,4,18,normal
132,1,32,15,5,normal
133,1,33,3,11,normal
134,1,34,12,5,normal
135,1,35,19,9,normal
136,1,36,8,11,normal
137,1,37,24,11,normal
138,1,38,6,8,normal
139,1,39,12,22,normal
140,1,40,18,10,normal
141,1,41,2,16,normal
142,1,42,9,2,normal
143,1,43,10,3,normal
144,1,44,15,8,normal
145,1,45,16,17,normal
146,1,46,12,2,normal
147,1,47,19,1,normal
148,1,48,8,24,normal
149,1,49,10,20,normal
150,1,50,8,23,normal
151,1,51,12,12,normal
152,1,52,25,23,normal
153,1,53,21,17,normal
154,1,54,24,7,normal
155,1,55,9,12,normal
156,1,56,9,1,normal
157,1,57,6,5,normal
158,1,58,3,8,normal
159,1,59,20,20,normal
160,1,60,24,13,normal
161,1,61,15,20,normal
162,1,62,13,8,normal
163,1,63,7,17,normal
164,1,64,10,24,normal
165,1,65,18,3,normal
166,1,66,2,18,normal
167,1,67,19,5,normal
168,1,68,7,4,normal
169,1,69,9,18,normal
170,1,70,3,6,normal
171,1,71,12,17,normal
172,1,72,14,22,normal
173,1,73,7,3,normal
174,1,74,12,16,normal
175,1,75,15,7,normal
176,1,76,20,15,normal
177,1,77,15,2,normal
178,1,78,17,8,normal
179,1,79,20,10,normal
180,1,80,15,21,normal
181,1,81,21,21,normal
182,1,82,23,7,normal
183,1,83,4,8,normal
184,1,84,5,24,normal
185,1,85,22,18,normal
186,1,86,11,19,normal
187,1,87,7,21,normal
188,1,88,17,20,normal
189,1,89,15,15,normal
190,1,90,14,2,normal
191,1,91,2,3,normal
192,1,92,6,10,normal
193,1,93,3,17,normal
194,1,94,11,11,normal
195,1,95,7,13,normal
196,1,96,5,17,normal
197,1,97,4,3,normal
198,1,98,10,4,normal
199,1,99,3,19,normal
200,2,0,22,7,normal
201,2,1,17,2,normal
202,2,2,6,24,normal
203,2,3,19,21,normal
204,2,4,25,19,normal
205,2,5,8,20,normal
206,2,6,19,22,normal
207,2,7,10,5,normal
208,2,8,12,15,normal
209,2,9,14,21,normal
210,2,10,23,10,normal
211,2,11,17,23,normal
212,2,12,3,25,normal
213,2,13,14,10,normal
214,2,14,7,18,normal
215,2,15,10,9,normal
216,2,16,8,12,normal
217,2,17,10,17,normal
218,2,18,17,13,normal
219,2,19,18,21,normal
220,2,20,13,3,normal
221,2,21,22,8,normal
222,2,22,3,24,normal
223,2,23,16,1,normal
224,2,24,20,4,normal
225,2,25,13,19,normal
226,2,26,7,24,normal
227,2,27,16,3,normal
228,2,28,24,15,normal
229,2,29,14,7,normal
230,2,30,21,18,normal
231,2,31,5,18,normal
232,2,32,15,4,normal
233,2,33,4,11,normal
234,2,34,13,5,normal
235,2,35,20,9,normal
236,2,36,9,11,normal
237,2,37,24,12,normal
238,2,38,6,9,normal
239,2,39,13,22,normal
240,2,40,19,10,normal
241,2,41,3,16,normal
242,2,42,9,3,normal
243,2,43,11,3,normal
244,2,44,16,8,normal
245,2,45,17,17,normal
246,2,46,12,2,normal
247,2,47,19,2,normal
248,2,48,9,24,normal
249,2,49,11,20,normal
250,2,50,9,23,normal
251,2,51,13,12,normal
252,2,52,25,22,normal
253,2,53,22,17,normal
254,2,54,24,8,normal
255,2,55,10,12,normal
256,2,56,10,1,normal
257,2,57,7,5,normal
258,2,58,3,8,normal
259,2,59,20,20,normal
260,2,60,25,13,normal
261,2,61,16,20,normal
262,2,62,14,8,normal
263,2,63,8,17,normal
264,2,64,11,24,normal
265,2,65,19,3,normal
266,2,66,2,18,normal
267,2,67,19,6,normal
268,2,68,8,4,normal
269,2,69,10,18,normal
270,2,70,4,6,normal
271,2,71,13,17,normal
272,2,72,15,22,normal
273,2,73,8,3,normal
274,2,74,13,16,normal
275,2,75,16,7,normal
276,2,76,20,14,normal
277,2,77,15,2,normal
278,2,78,18,8,normal
279,2,79,20,11,normal
280,2,80,16,21,normal
281,2,81,21,20,normal
282,2,82,23,8,normal
283,2,83,5,8,normal
284,2,84,5,24,normal
285,2,85,22,18,normal
286,2,86,11,19,normal
287,2,87,8,21,normal
288,2,88,17,19,normal
289,2,89,16,15,normal
290,2,90,14,2,normal
291,2,91,3,3,normal
292,2,92,7,10,normal
293,2,93,3,18,normal
294,2,94,12,11,normal
295,2,95,8,13,normal
296,2,96,6,17,normal
297,2,97,4,4,normal
298,2,98,11,4,normal
299,2,99,4,19,normal
300,3,0,22,7,normal
301,3,1,17,2,normal
302,3,2,6,24,normal
303,3,3,20,21,normal
304,3,4,25,18,normal
305,3,5,9,20,normal
306,3,6,19,22,normal
307,3,7,10,6,normal
308,3,8,12,14,normal
309,3,9,15,21,normal
310,3,10,23,11,normal
311,3,11,18,23,normal
312,3,12,4,25,normal
313,3,13,15,10,normal
314,3,14,8,18,normal
315,3,15,11,9,normal
316,3,16,8,12,normal
317,3,17,11,17,normal
318,3,18,17,14,normal
319,3,19,18,21,normal
320,3,20,13,4,normal
321,3,21,22,9,normal
322,3,22,4,24,normal
323,3,23,16,2,normal
324,3,24,20,5,normal
325,3,25,14,19,normal
326,3,26,7,24,normal
327,3,27,17,3,normal
328,3,28,25,15,normal
329,3,29,15,7,normal
330,3,30,21,18,normal
331,3,31,6,18,normal
332,3,32,15,5,normal
333,3,33,5,11,normal
334,3,34,13,6,normal
335,3,35,21,9,normal
336,3,36,10,11,normal
337,3,37,24,12,normal
338,3,38,7,9,normal
339,3,39,14,22,normal
340,3,40,20,10,normal
341,3,41,4,16,normal
342,3,42,10,3,normal
343,3,43,11,3,normal
344,3,44,16,9,normal
345,3,45,18,17,normal
346,3,46,13,2,normal
347,3,47,19,2,normal
348,3,48,10,24,normal
349,3,49,12,20,normal
350,3,50,10,23,normal
351,3,51,13,12,normal
352,3,52,25,21,normal
353,3,53,22,16,normal
354,3,54,24,8,normal
355,3,55,11,12,normal
356,3,56,11,1,normal
357,3,57,7,6,normal
358,3,58,2,8,normal
